,rateCode,price,Location,Instance Family,vCPU,Instance Type,Memory,Storage,Network Performance,plc:OperatingSystem,plc:InstanceFamily,Operating System,Pre Installed S/W,License Model
290,W4ZRFQ4Q6W3P22C4.JRTCKXETXF.6YS6EN2CT7,4.256,US East (Ohio),Memory optimized,64,r4.16xlarge,488.0,EBS only,20 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
291,W6CG3TUC9YBBCPMB.JRTCKXETXF.6YS6EN2CT7,26.676,US East (Ohio),Memory optimized,128,x2iedn.metal,4096.0,2 x 1900 NVMe SSD,100 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
292,W8YRQ5GSW6TBHTCB.JRTCKXETXF.6YS6EN2CT7,0.1134,US East (Ohio),Compute optimized,2,c6in.large,4.0,EBS only,Up to 25000 Megabit,Linux,Compute Optimized,Linux,NA,No License required
293,WD7DZ22R4WVPGGVW.JRTCKXETXF.6YS6EN2CT7,3.06,US East (Ohio),GPU instance,8,p3.2xlarge,61.0,EBS only,Up to 10 Gigabit,Linux,Accelerated Computing,Linux,NA,No License required
294,WM4RQEMF9SXRWEMX.JRTCKXETXF.6YS6EN2CT7,6.144,US East (Ohio),General purpose,128,m6i.32xlarge,512.0,EBS only,50000 Megabit,Linux,General Purpose,Linux,NA,No License required
295,WMNX2DDVQXFEJM2X.JRTCKXETXF.6YS6EN2CT7,0.1728,US East (Ohio),General purpose,4,m6a.xlarge,16.0,EBS only,Up to 12500 Megabit,Linux,General Purpose,Linux,NA,No License required
296,WN977FJGFJ8J4XQ4.JRTCKXETXF.6YS6EN2CT7,2.88,US East (Ohio),Compute optimized,96,hpc6a.48xlarge,384.0,EBS only,100 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
297,WGZ57G62MB4V8BAX.JRTCKXETXF.6YS6EN2CT7,6.048,US East (Ohio),Memory optimized,96,r6i.24xlarge,768.0,EBS only,37500 Megabit,Linux,Memory Optimized,Linux,NA,No License required
298,WHT8TY3TK5ZXHD5E.JRTCKXETXF.6YS6EN2CT7,5.44,US East (Ohio),Compute optimized,128,c6i.32xlarge,256.0,EBS only,50000 Megabit,Linux,Compute Optimized,Linux,NA,No License required
299,TU6E93DA92VA6UYR.JRTCKXETXF.6YS6EN2CT7,4.008,US East (Ohio),Memory optimized,48,r5dn.12xlarge,384.0,2 x 900 GB NVMe SSD,50 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
300,TVRTRAXGTDJNN898.JRTCKXETXF.6YS6EN2CT7,0.154,US East (Ohio),General purpose,4,m6g.xlarge,16.0,EBS only,Up to 10 Gigabit,Linux,General Purpose,Linux,NA,No License required
301,U9THABHE6YURRJ8K.JRTCKXETXF.6YS6EN2CT7,2.304,US East (Ohio),Compute optimized,48,c5d.12xlarge,96.0,2 x 900 NVMe SSD,12 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
302,UAHVXR6M5PWGYBDN.JRTCKXETXF.6YS6EN2CT7,2.304,US East (Ohio),Memory optimized,32,r5d.8xlarge,256.0,2 x 600 NVMe SSD,10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
303,UERYMR24GXXPDY92.JRTCKXETXF.6YS6EN2CT7,0.172,US East (Ohio),Storage optimized,2,i4i.large,16.0,1 x 468 NVMe SSD,Up to 10 Gigabit,Linux,Storage Optimized,Linux,NA,No License required
304,UEXBWRY6WTSZH5TN.JRTCKXETXF.6YS6EN2CT7,2.232,US East (Ohio),Memory optimized,24,z1d.6xlarge,192.0,1 x 900 NVMe SSD,10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
