,currencyCode,tierMinimumUnits,retailPrice,unitPrice,armRegionName,location,effectiveStartDate,meterId,instanceName,productId,skuId,availabilityId,productName,skuName,serviceName,serviceId,serviceFamily,unitOfMeasure,type,isPrimaryMeterRegion,armSkuName,effectiveEndDate
1065,USD,0.0,5.268,5.268,southcentralus,US South Central,2021-03-01T00:00:00Z,447f4c68-ec71-5545-86fe-63129f36cdb8,HB60-15rs,DZH318Z0BXNG,DZH318Z0BXNG/00BX,,Virtual Machines HBS Series Windows,HB60-15rs,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_HB60-15rs,
1066,USD,0.0,1.085,1.085,southcentralus,US South Central,2021-11-01T00:00:00Z,4482590e-2a0e-5b7f-bbbb-37a4dcb43362,E16-8as v5,DZH318Z093WZ,DZH318Z093WZ/0084,,Virtual Machines Easv5 Series,E16-8as v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E16-8as_v5,
1067,USD,0.0,37.046,37.046,southcentralus,US South Central,2021-06-01T00:00:00Z,44830bd9-5f87-5b52-a44d-b119611ed59a,ND96asr A100 v4,DZH318Z0DS6S,DZH318Z0DS6S/001S,,Virtual Machines NDasr A100 v4 Series Windows,ND96asr A100 v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_ND96asr_A100_v4,
1069,USD,0.0,0.206,0.206,southcentralus,US South Central,2021-11-01T00:00:00Z,44a3e239-240d-5215-a151-83f43f57ad2f,D4as v5,DZH318Z08W0T,DZH318Z08W0T/004Z,,Virtual Machines Dasv5 Series,Standard_D4as_v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D4as_v5,
1071,USD,0.0,6.63,6.63,southcentralus,US South Central,2021-11-01T00:00:00Z,44bb39d2-129c-5ade-b08c-db9460b08dba,D64 v5,DZH318Z08M9V,DZH318Z08M9V/00HQ,,Virtual Machines Dv5 Series Windows,Standard_D64_v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D64_v5,
1073,USD,0.0,43.74,43.74,southcentralus,US South Central,2021-12-01T00:00:00Z,44e025bb-19bf-5f9b-ab81-ed4642b4b2c1,ND96amsr A100 v4,DZH318Z08MBL,DZH318Z08MBL/000W,,Virtual Machines NDamsr A100 v4 Series Windows,Standard_ND96amsr_A100_v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_ND96amsr_A100_v4,
1075,USD,0.0,0.829,0.829,southcentralus,US South Central,2021-11-01T00:00:00Z,44ea2283-ec07-52da-8881-7a9bccba96a8,D8s v5,DZH318Z08M9T,DZH318Z08M9T/004F,,Virtual Machines Dsv5 Series Windows,Standard_D8s_v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D8s_v5,
1076,USD,0.0,0.605,0.605,southcentralus,US South Central,2020-08-01T00:00:00Z,44edb49e-aaab-551d-ad43-f4726790bfe8,E8 v4,DZH318Z0D1L7,DZH318Z0D1L7/004S,,Virtual Machines Ev4 Series,E8 v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E8_v4,
1081,USD,0.0,4.656,4.656,southcentralus,US South Central,2023-02-01T00:00:00Z,452fb333-5d02-5fad-980a-b915666bf900,D48ls v5,DZH318Z08M9K,DZH318Z08M9K/00HM,,Virtual Machines Dlsv5 Series Windows,D48ls v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D48ls_v5,
1082,USD,0.0,0.127,0.127,southcentralus,US South Central,2016-02-01T00:00:00Z,4562b9fd-4e8d-4391-8956-4ee862303a92,D2 v2/DS2 v2,DZH318Z0BQ34,DZH318Z0BQ34/0150,,Virtual Machines Dv2 Series,D2 v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D2_v2,
1083,USD,0.0,0.127,0.127,southcentralus,US South Central,2016-02-01T00:00:00Z,4562b9fd-4e8d-4391-8956-4ee862303a92,DS2 v2,DZH318Z0BQ4C,DZH318Z0BQ4C/01CN,,Virtual Machines DSv2 Series,DS2 v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,False,Standard_DS2_v2,
1084,USD,0.0,0.605,0.605,southcentralus,US South Central,2020-08-01T00:00:00Z,4584dda7-d5de-518b-a97f-cd792ac81f44,E8-2s v4,DZH318Z0CSHL,DZH318Z0CSHL/00XM,,Virtual Machines Esv4 Series,E8-2s v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E8-2s_v4,
1086,USD,0.0,1.473,1.473,southcentralus,US South Central,2022-07-01T00:00:00Z,45b31940-cbd0-542e-aeb2-4c652ccd3197,D16plds v5,DZH318Z092QJ,DZH318Z092QJ/00D2,,Virtual Machines Dpldsv5 Series Windows,Standard_D16plds_v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D16plds_v5,
1088,USD,0.0,1.946,1.946,southcentralus,US South Central,2020-08-01T00:00:00Z,45d6ea0f-afa3-5acf-8e14-07f7907ee05a,E16-4s v4,DZH318Z0CSHC,DZH318Z0CSHC/00ZH,,Virtual Machines Esv4 Series Windows,E16-4s v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E16-4s_v4,
1091,USD,0.0,8.237,8.237,southcentralus,US South Central,2020-10-01T00:00:00Z,45f4f311-2d29-5293-8879-fbe8306f798d,L88is v2,DZH318Z0BQM3,DZH318Z0BQM3/00K8,,Virtual Machines LSv2 Series,L88is v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_L88is_v2,
1098,USD,0.0,1.946,1.946,southcentralus,US South Central,2020-11-01T00:00:00Z,4639427c-d157-5a8c-8df5-20566698c6b8,E16-4as_v4,DZH318Z0CM92,DZH318Z0CM92/00V6,,Virtual Machines Easv4 Series Windows,E16-4as_v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E16-4as_v4,
1101,USD,0.0,1.98,1.98,southcentralus,US South Central,2022-02-01T00:00:00Z,4676cb6f-f6c7-5419-9ac2-429f19c27d25,NP10s,DZH318Z0CHCB,DZH318Z0CHCB/004X,,Virtual Machines NP Series,NP10s,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_NP10s,
1111,USD,0.0,2.35,2.35,southcentralus,US South Central,2020-06-01T00:00:00Z,476ef9a8-5a64-5f40-8346-62a069b5b4a0,D32ds v4,DZH318Z0CSHM,DZH318Z0CSHM/00CL,,Virtual Machines Ddsv4 Series,D32ds v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D32ds_v4,
1118,USD,0.0,2.302,2.302,southcentralus,US South Central,2022-07-01T00:00:00Z,47e329f1-6543-5feb-8869-0cdae17bb7c7,E20pds v5,DZH318Z092SG,DZH318Z092SG/000T,,Virtual Machines Epdsv5 Series Windows,Standard_E20pds_v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E20pds_v5,
1140,USD,0.0,0.44,0.44,southcentralus,US South Central,2014-05-01T00:00:00Z,494931a8-9f6c-4ad3-80b3-b1686cf0e64e,A6,DZH318Z0BPRT,DZH318Z0BPRT/005M,,Virtual Machines A Series,A6,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_A6,
1141,USD,0.0,3.315,3.315,southcentralus,US South Central,2020-08-01T00:00:00Z,495f5fee-e594-54f1-aa5f-fb2787452af9,D32s v4,DZH318Z0CP07,DZH318Z0CP07/00D7,,Virtual Machines Dsv4 Series Windows,D32s v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D32s_v4,
1142,USD,0.0,0.115,0.115,southcentralus,US South Central,2020-01-01T00:00:00Z,4980ec28-d6bc-5331-8804-dd512804edb9,D2a v4/D2as v4,DZH318Z0CM2B,DZH318Z0CM2B/00FD,,Virtual Machines Dav4 Series,D2a v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D2a_v4,
1143,USD,0.0,0.115,0.115,southcentralus,US South Central,2020-01-01T00:00:00Z,4980ec28-d6bc-5331-8804-dd512804edb9,D2as v4,DZH318Z0CM2C,DZH318Z0CM2C/00FP,,Virtual Machines Dasv4 Series,D2as v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,False,Standard_D2as_v4,
1144,USD,0.0,0.401,0.401,southcentralus,US South Central,2022-07-01T00:00:00Z,499175cc-d016-5919-8b0f-01dd1c3d95a1,D4pds v5,DZH318Z092SC,DZH318Z092SC/00N4,,Virtual Machines Dpdsv5 Series Windows,Standard_D4pds_v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D4pds_v5,
1150,USD,0.0,0.146,0.146,southcentralus,US South Central,2017-03-01T00:00:00Z,49d99f3c-6b6a-4dc3-8f3f-022a4624bed3,E2 v3/E2s v3,DZH318Z0BQ4L,DZH318Z0BQ4L/00GZ,,Virtual Machines Ev3 Series,E2 v3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E2_v3,
